Название точки привлечения туристов,Кол-во запросов в месяц,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт,Коэффициент удаленности от гостинниц
Введенский собор,118.0,46.928389,True,True,False,False,False,61.333007,False,False,False,False,False,True,False,False,False,False,False,False,29.46
Дом купцов Пьянковых (I пол. XIX в.),194.0,46.932067,True,True,False,False,False,61.331277,False,False,True,False,False,False,False,False,False,False,False,False,29.089999999999996
Литературная усадьба и музей Козьмы Пруткова,49.0,46.929015,True,True,False,False,False,61.331288,False,False,False,False,False,True,False,False,False,False,False,False,29.53
Музей политической ссылки (музей И.В. Сталина),90.0,46.934791,True,True,False,False,False,61.331951,False,False,True,False,False,False,False,False,False,False,False,False,28.700000000000003
"Санаторий ""Сольвычегодск""",4380.0,46.931559,True,True,False,False,False,61.331642,False,False,False,False,False,False,False,False,False,True,False,False,29.200000000000003
Сольвычегодский историко-художественный музей,143.0,46.931293,True,True,False,False,False,61.330122,False,False,True,False,False,False,False,False,False,False,False,False,28.990000000000002
"Экспозиционно-выставочный комплекс ""Дом купцов Хаминовых""",15.0,46.928978,True,True,False,False,False,61.330416,False,False,True,False,False,False,False,False,False,False,False,False,29.299999999999997
"""Малиновка"", Центр активного отдыха",200.0,43.357443,True,True,False,False,False,61.12472,False,False,False,False,False,False,False,False,False,False,False,True,19.28
Устьянский краеведческий музей,84.0,43.162053,True,True,False,False,False,61.090365,False,False,True,False,False,False,False,False,False,False,False,False,9.47
Устьянский центр народного творчества,23.0,43.292886,True,True,False,False,False,61.111688,False,True,False,False,False,False,False,False,False,False,False,False,12.209999999999999
Историко-мемориальный музей М.В. Ломоносова,126.0,41.733645,True,True,False,False,False,64.2302,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Село Ломоносово,4073.0,41.732359,True,True,False,False,False,64.22938,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Фабрика Холмогорской резьбы по кости,37.0,41.733516,True,True,False,False,False,64.230262,False,True,False,False,False,False,False,False,False,False,False,False,0.0
"Церковь Димитрия Солунского, с. Ломоносово",38.0,41.739181,True,True,False,False,False,64.23162,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Шенкурский районный краеведческий музей,150.0,42.902558,True,True,False,False,False,62.103525,False,False,False,False,False,True,False,False,False,False,False,False,0.0
