0,1,2,Широта,Долгота
"Гостиница АО ""ПО ""Севмаш""","АО ""ПО ""Севмаш""","Архангельская область, город Северодвинск, пр.Ленина, д.38",64.556831,39.830275
Гостиница «Каргополочка»,АО «Бизнес-центр-отель»,"164110, Архангельская обл., г. Каргополь, ул. Ленина, д. 83",61.507777,38.950332
Гостиница «Приют»,Индивидуальный предприниматель Григорьева Екатерина Сергеевна,"164070, Архангельская обл., Приморский р-он, пос. Соловецкий, ул. Приморская, д. 11",65.023111,35.703307
Гостиница «Отель Адмирал»,ИП Воронин Игорь Сергеевич,"163002, г. Архангельск, ул. Набережная Северной Двины, д. 32",64.530162,40.540232
Хостел «Feel Good»,Индивидуальный предприниматель Стефанков Александр Викторович,"163000, г. Архангельск, ул. Воскресенская, д. 11",64.540474,40.522692
"Гостиница на Ленина, 40 АО ПО ""Севмаш""","АО ПО ""Севмаш""","Архангельская область, город Северодвинск, пр.Ленина, д.40",64.556336,39.830481
"Гостиница на Трухинова АО ПО ""Севмаш""","АО ПО ""Севмаш""","Архангельская область, город Северодвинск, ул.Трухинова, д.3, стр.1",64.551674,39.762327
"Гостиница ""Волна"" АО ПО ""Севмаш""","АО ПО ""Севмаш""","Архангельская область, город Северодвинск, ул.Седова, д.8",64.562290,39.816970
Отель «Botanica»,Общество с ограниченной ответственностью «ДОМ НАД ДВИНОЙ»,"163069, Архангельская обл., г. Архангельск, ул. Садовая, д. 3",64.551995,40.517946
Гостевой дом «Морошка» ИП Орлова Дина Ивановна,ИП Орлова Дина Ивановна,"164110, Архангельская область, г. Каргополь, ул. Ленинградская, д. 63",61.506236,38.922544
ГОСТИНИЦА «ГОСТИНИЦА НА НАБЕРЕЖНОЙ» ИП Меньшаков Александр Александрович,ИП Меньшаков Александр Александрович,"165300, Архангельская область, г. Котлас, ул. Набережная, д. 17",61.253814,46.622174
Гостиница «LaStoria» Общество с ограниченной ответственностью «ЛАСТОРИА»,Общество с ограниченной ответственностью «ЛАСТОРИА»,"163051, Архангельская обл., г. Архангельск, пр-кт Дзержинского, д. 7, корп. 4",64.547287,40.574422
Гостиница «На Западной» ИП Сосновская Анна Андреевна,ИП Сосновская Анна Андреевна,"164010, Архангельская область, рп. Коноша, ул. Западная, д. 2",60.967523,40.212089
Гостиница «Форт Нокс» ООО «Форт Нокс»,ООО «Форт Нокс»,"163000, г. Архангельск, ул. Выучейского, д. 88, корп.2",64.543143,40.551641
Отель «Медведов» Общество с ограниченной ответственностью «Торговая компания Плесецк»,Общество с ограниченной ответственностью «Торговая компания Плесецк»,"164260, Архангельская обл., Плесецкий р-н, п. Плесецк, ул. 915 км",62.700444,40.294211
Хостел «Фреш» Общество с ограниченной ответственностью «Хостел Фреш»,Общество с ограниченной ответственностью «Хостел Фреш»,"163051, Архангельская обл., г. Архангельск, пр. Дзержинского, д. 11",64.549359,40.571660
Гостиница «MIXX центральная» Индивидуальный предприниматель Лебедева Ольга Анатольевна,Индивидуальный предприниматель Лебедева Ольга Анатольевна,"164010, Архангельская область, п. Коноша, ул. Советская, д. 29",60.974123,40.256360
Хостел «MIXX» Индивидуальный предприниматель Лебедева Ольга Анатольевна,Индивидуальный предприниматель Лебедева Ольга Анатольевна,"164010, Архангельская область, п. Коноша, ул. Первомайская, д. 44",60.964874,40.244180
Мини-отель «Макаров»  Общество с ограниченной ответственностью «Мини-отель «Макаровъ»,Общество с ограниченной ответственностью «Мини-отель «Макаровъ»,"163000, Архангельская обл., г. Архангельск, наб. Северной Двины, д. 62",64.531639,40.527925
"гостиница Федеральное автономное учреждение ""ЦРО КД"" МО РФ","Федеральное автономное учреждение ""ЦРО КД"" МО РФ","164170, Россия, Архангельская область, г. Мирный, ул. Ленина, дом 2",62.766726,40.317773
Гостиница «Отель на Первомайской» Индивидуальный предприниматель Семянникова Ольга Евгеньевна,Индивидуальный предприниматель Семянникова Ольга Евгеньевна,"164200 Архангельская область, г. Няндома, ул. Первомайская, д.31",61.665988,40.193581
Отель «Путник» ИП Панкратова Елена Сергеевна,ИП Панкратова Елена Сергеевна,"164262, Архангельская область, г. Плесецк, ул. Ленина, д. 2а",62.700594,40.280940
Гостиница «Дворец спорта г.Онега» МБУ ДО «Дворец спорта для детей и юношества»,Муниципальное бюджетное учреждение дополнительного образования «Дворец спорта для детей и юношества»,"164840, Архангельская область, г. Онега, переулок Спортивный, дом 1, строение 2",63.922963,38.127627
"Гостиница ""Рокот"" АО ""ГКНПЦ им. М.В. Хруничева""","АО ""ГКНПЦ им. М.В. Хруничева""","164170, Архангельская область, г. Мирный, ул. Ленина, д. 34",62.758122,40.331476
«Гостевой дома «Как у бабушки»  ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д. Масельга",61.827223,38.037106
